index,name,header,beta,bias,gamma,mean,variance,weight
0,dense,pm25_model_compile/params/layer_0_params_dense.h,,layer_0_dense_bias,,,,layer_0_dense_weight
1,conv2d,pm25_model_compile/params/layer_1_params_conv2d.h,,layer_1_conv2d_bias,,,,layer_1_conv2d_weight
2,dense,pm25_model_compile/params/layer_2_params_dense.h,,layer_2_dense_bias,,,,layer_2_dense_weight
3,batch_norm,pm25_model_compile/params/layer_3_params_batch_norm.h,layer_3_batch_norm_beta,,layer_3_batch_norm_gamma,layer_3_batch_norm_mean,layer_3_batch_norm_variance,
4,conv2d,pm25_model_compile/params/layer_4_params_conv2d.h,,layer_4_conv2d_bias,,,,layer_4_conv2d_weight
5,batch_norm,pm25_model_compile/params/layer_5_params_batch_norm.h,layer_5_batch_norm_beta,,layer_5_batch_norm_gamma,layer_5_batch_norm_mean,layer_5_batch_norm_variance,
6,conv2d,pm25_model_compile/params/layer_6_params_conv2d.h,,layer_6_conv2d_bias,,,,layer_6_conv2d_weight
7,dense,pm25_model_compile/params/layer_7_params_dense.h,,layer_7_dense_bias,,,,layer_7_dense_weight
8,batch_norm,pm25_model_compile/params/layer_8_params_batch_norm.h,layer_8_batch_norm_beta,,layer_8_batch_norm_gamma,layer_8_batch_norm_mean,layer_8_batch_norm_variance,
9,conv2d,pm25_model_compile/params/layer_9_params_conv2d.h,,layer_9_conv2d_bias,,,,layer_9_conv2d_weight
10,batch_norm,pm25_model_compile/params/layer_10_params_batch_norm.h,layer_10_batch_norm_beta,,layer_10_batch_norm_gamma,layer_10_batch_norm_mean,layer_10_batch_norm_variance,
11,conv2d,pm25_model_compile/params/layer_11_params_conv2d.h,,layer_11_conv2d_bias,,,,layer_11_conv2d_weight
12,dense,pm25_model_compile/params/layer_12_params_dense.h,,layer_12_dense_bias,,,,layer_12_dense_weight
13,batch_norm,pm25_model_compile/params/layer_13_params_batch_norm.h,layer_13_batch_norm_beta,,layer_13_batch_norm_gamma,layer_13_batch_norm_mean,layer_13_batch_norm_variance,
14,conv2d,pm25_model_compile/params/layer_14_params_conv2d.h,,layer_14_conv2d_bias,,,,layer_14_conv2d_weight
15,batch_norm,pm25_model_compile/params/layer_15_params_batch_norm.h,layer_15_batch_norm_beta,,layer_15_batch_norm_gamma,layer_15_batch_norm_mean,layer_15_batch_norm_variance,
16,conv2d,pm25_model_compile/params/layer_16_params_conv2d.h,,layer_16_conv2d_bias,,,,layer_16_conv2d_weight
17,dense,pm25_model_compile/params/layer_17_params_dense.h,,layer_17_dense_bias,,,,layer_17_dense_weight
18,batch_norm,pm25_model_compile/params/layer_18_params_batch_norm.h,layer_18_batch_norm_beta,,layer_18_batch_norm_gamma,layer_18_batch_norm_mean,layer_18_batch_norm_variance,
19,conv2d,pm25_model_compile/params/layer_19_params_conv2d.h,,layer_19_conv2d_bias,,,,layer_19_conv2d_weight
20,batch_norm,pm25_model_compile/params/layer_20_params_batch_norm.h,layer_20_batch_norm_beta,,layer_20_batch_norm_gamma,layer_20_batch_norm_mean,layer_20_batch_norm_variance,
21,conv2d,pm25_model_compile/params/layer_21_params_conv2d.h,,layer_21_conv2d_bias,,,,layer_21_conv2d_weight
22,dense,pm25_model_compile/params/layer_22_params_dense.h,,layer_22_dense_bias,,,,layer_22_dense_weight
23,batch_norm,pm25_model_compile/params/layer_23_params_batch_norm.h,layer_23_batch_norm_beta,,layer_23_batch_norm_gamma,layer_23_batch_norm_mean,layer_23_batch_norm_variance,
24,conv2d,pm25_model_compile/params/layer_24_params_conv2d.h,,layer_24_conv2d_bias,,,,layer_24_conv2d_weight
25,batch_norm,pm25_model_compile/params/layer_25_params_batch_norm.h,layer_25_batch_norm_beta,,layer_25_batch_norm_gamma,layer_25_batch_norm_mean,layer_25_batch_norm_variance,
26,conv2d_transpose,pm25_model_compile/params/layer_26_params_conv2d_transpose.h,,layer_26_conv2d_transpose_bias,,,,layer_26_conv2d_transpose_weight
27,batch_norm,pm25_model_compile/params/layer_27_params_batch_norm.h,layer_27_batch_norm_beta,,layer_27_batch_norm_gamma,layer_27_batch_norm_mean,layer_27_batch_norm_variance,
28,dense,pm25_model_compile/params/layer_28_params_dense.h,,layer_28_dense_bias,,,,layer_28_dense_weight
29,conv2d,pm25_model_compile/params/layer_29_params_conv2d.h,,layer_29_conv2d_bias,,,,layer_29_conv2d_weight
30,batch_norm,pm25_model_compile/params/layer_30_params_batch_norm.h,layer_30_batch_norm_beta,,layer_30_batch_norm_gamma,layer_30_batch_norm_mean,layer_30_batch_norm_variance,
31,conv2d_transpose,pm25_model_compile/params/layer_31_params_conv2d_transpose.h,,layer_31_conv2d_transpose_bias,,,,layer_31_conv2d_transpose_weight
32,batch_norm,pm25_model_compile/params/layer_32_params_batch_norm.h,layer_32_batch_norm_beta,,layer_32_batch_norm_gamma,layer_32_batch_norm_mean,layer_32_batch_norm_variance,
33,dense,pm25_model_compile/params/layer_33_params_dense.h,,layer_33_dense_bias,,,,layer_33_dense_weight
34,conv2d,pm25_model_compile/params/layer_34_params_conv2d.h,,layer_34_conv2d_bias,,,,layer_34_conv2d_weight
35,batch_norm,pm25_model_compile/params/layer_35_params_batch_norm.h,layer_35_batch_norm_beta,,layer_35_batch_norm_gamma,layer_35_batch_norm_mean,layer_35_batch_norm_variance,
36,conv2d_transpose,pm25_model_compile/params/layer_36_params_conv2d_transpose.h,,layer_36_conv2d_transpose_bias,,,,layer_36_conv2d_transpose_weight
37,batch_norm,pm25_model_compile/params/layer_37_params_batch_norm.h,layer_37_batch_norm_beta,,layer_37_batch_norm_gamma,layer_37_batch_norm_mean,layer_37_batch_norm_variance,
38,dense,pm25_model_compile/params/layer_38_params_dense.h,,layer_38_dense_bias,,,,layer_38_dense_weight
39,conv2d,pm25_model_compile/params/layer_39_params_conv2d.h,,layer_39_conv2d_bias,,,,layer_39_conv2d_weight
40,batch_norm,pm25_model_compile/params/layer_40_params_batch_norm.h,layer_40_batch_norm_beta,,layer_40_batch_norm_gamma,layer_40_batch_norm_mean,layer_40_batch_norm_variance,
41,conv2d,pm25_model_compile/params/layer_41_params_conv2d.h,,layer_41_conv2d_bias,,,,layer_41_conv2d_weight
